playlist_id_1,playlist_id_2,weight
2cS3is4DNasSB6CdGKbXuJ,4mBdmPmDF3tbkqNyTLGju3,48
2cS3is4DNasSB6CdGKbXuJ,36FRz1sl84pHsRpzAJ7pFU,47
2cS3is4DNasSB6CdGKbXuJ,6krviJ6qoGTWQjncEkYlhj,43
2cS3is4DNasSB6CdGKbXuJ,7c9000CytHyxZKcAUim9jO,42
2cS3is4DNasSB6CdGKbXuJ,2rKMohfPQEvrkY4hVU5XJr,42
39jNWXEZtaGxEMrYcDi6O0,2725EOjJPsWCf0acNDnvy7,47
39jNWXEZtaGxEMrYcDi6O0,1TQ8uRVYcKpjiANpYjmiK1,43
2yRluIdlX6kW1J4zOnfZRg,3JvwnAfVrgXnyUXHydhnHo,46
0YRJb0JkKZV9xbJROdML4M,3JvwnAfVrgXnyUXHydhnHo,46
37i9dQZF1DXdbXrPNafg9d,3CAvfICEGuyJvm4983XukJ,46
2VhzEZuhOqIHv74rMmBcmd,3JvwnAfVrgXnyUXHydhnHo,44
7xD1lUEFtVIBWg4xagu74F,3Li9XSZCZOPwhcyLicAEJQ,44
3XtdRHL2NUKMWB1mwgq4oX,3Li9XSZCZOPwhcyLicAEJQ,44
1PysT5HQ1hkH7HrQ5rRpLa,36FRz1sl84pHsRpzAJ7pFU,43
37i9dQZF1DWSTqUqJcxFk6,1TQ8uRVYcKpjiANpYjmiK1,43
45tSwmDYG6n12bA7D8U7Au,3Li9XSZCZOPwhcyLicAEJQ,43
7uOkmDrnsZsZUvgIDuQzCe,3Li9XSZCZOPwhcyLicAEJQ,42
2eZTzUsdoOwt9CcqzWGCm9,3Li9XSZCZOPwhcyLicAEJQ,42
3qnDzWns6sKbvp6DwlgAmT,7MhgeNUINAidup7OHgi6nv,42
7MhgeNUINAidup7OHgi6nv,2EyopjiCNEOOZNCszriTPw,49
2nVr81UyMYOPyy6ujrT2N1,3Li9XSZCZOPwhcyLicAEJQ,41
6Di85VhG9vfyswWHBTEoQN,1TQ8uRVYcKpjiANpYjmiK1,50
6SRtIRHaZzkftDhalDZKtF,1qYKfFbzTNEecRYZejFx1J,42
3wao2GoeJjt9s9hgjiuIYn,1qYKfFbzTNEecRYZejFx1J,42
3zGxnE3zuVDPH9o4HpMbZE,1qYKfFbzTNEecRYZejFx1J,42
2KQIkjH9YHSa88ibUACuf5,36FRz1sl84pHsRpzAJ7pFU,41
4ls8IrETPU4Ag7rYNN3UYk,4mBdmPmDF3tbkqNyTLGju3,41
6yY1ZjBPj4mQKw9i6OAet5,2hEc9KNcCdU6M1QWWGmxTa,89
3EDW3Fidh32lU7XT0DmKMo,3rf3IiWoNudUaeQmMCtXwB,59
5HF8gPJKWxeZPDKUt0kTF7,36FRz1sl84pHsRpzAJ7pFU,42
